Soil.w	Location.w	Sub_site.w	subsite_id.w	state	gps_n	gps_w	altitude	Visibilty.w	Temp.w	soil_condition	Collection_date.w	Day.w	collection_time.w
1255	MLBS	D14	1m-West	VA	37.37735	-80.52194	1181	sunny		wet	26/06/17	177	11:25
1256	MLBS	D15	Center	VA	37.3774	-80.52189	1184	sunny		wet	26/06/17	177	11:37
1257	MLBS	D15	1m-North	VA	37.37734	-80.52183	1176	sunny		wet	26/06/17	177	11:40
1258	MLBS	D15	1m-East	VA	37.37744	-80.52184	1180	sunny		wet	26/06/17	177	11:43
1259	MLBS	D15	1m-South	VA	37.37734	-80.52193	1190	sunny		wet	26/06/17	177	11:50
1260	MLBS	D15	1m-West	VA	37.37734	-80.52184	1180	sunny		wet	26/06/17	177	11:54
1261	MLBS	D16	Center	VA	37.3772	-80.52184	1179	sunny		wet	26/06/17	177	12:13
1262	MLBS	D16	1m-North	VA	37.37724	-80.5218	1179	sunny		wet	26/06/17	177	12:16
1263	MLBS	D16	1m-East	VA	37.37719	-80.52177	1183	sunny		average	26/06/17	177	12:19
1264	MLBS	D16	1m-South	VA	37.37711	-80.5219	1185	sunny		wet	26/06/17	177	12:23
