Soil.w	Location.w	Sub_site.w	subsite_id.w	state	gps_n	gps_w	altitude	Visibilty.w	Temp.w	soil_condition	Collection_date.w	Day.w	collection_time.w
1372	MLBS	M6	west	VA	37.37361	80.51949	1200	sunny	wet	wet	24/10/17	297	13:10
1373	MLBS	M7	center	VA	37.373	80.51858	1194	sunny	wet	wet	24/10/17	297	13:52
1374	MLBS	M7	north	VA	37.37299	80.5186	1193	sunny	wet	wet	24/10/17	297	13:54
1375	MLBS	M7	east	VA	37.37302	80.51865	1195	sunny	wet	wet	24/10/17	297	13:58
1376	MLBS	M7	south	VA	37.37294	80.51855	1195	sunny	wet	wet	24/10/17	297	14:00
1377	MLBS	M7	west	VA	37.37296	80.51865	1195	sunny	wet	wet	24/10/17	297	13:56
1378	MLBS	M8	center	VA	37.37258	80.51865	1195	sunny	wet	wet	24/10/17	297	13:36
1379	MLBS	M8	north	VA	37.37267	80.51859	1204	sunny	wet	wet	24/10/17	297	13:39
1380	MLBS	M8	east	VA	37.37269	80.51862	1200	sunny	wet	wet	24/10/17	297	13:41
1381	MLBS	M8	south	VA	37.3726	80.51868	1199	sunny	wet	wet	24/10/17	297	13:44
1382	MLBS	M8	west	VA	37.37263	80.51864	1198	sunny	wet	wet	24/10/17	297	13:46
1383	MLBS	C3	C3	VA	37.37283	80.51871	1194	sunny	wet	wet	24/10/17	297	13:30
1384	MLBS	C4	C4	VA	37.37289	80.51868	1205	sunny	wet	wet	24/10/17	297	13:21
1385	MLBS	C5	C5	VA	37.37286	80.51864	1201	sunny	wet	wet	24/10/17	297	13:33
1432	CBTF	CBTF11	not applicable	VA	37.84388	79.07501	817	sunny		wet	17/10/17	290	15:26
1433	CBTF	CBTF12	not applicable	VA	37.84406	79.07716	800	sunny		wet	17/10/17	290	15:36
1434	CBTF	CBTF13	not applicable	VA	37.84409	79.07681	783	sunny		wet	17/10/17	290	15:46
1435	CBTF	CBTF14	not applicable	VA	37.84457	79.07703	765	sunny		average	17/10/17	290	15:55
1436	CBTF	CBTF15	not applicable	VA	37.84531	79.07747	748	sunny		average	17/10/17	290	16:00
1437	CBTF	CBTF16	not applicable	VA	37.84575	79.07763	730	sunny		average	17/10/17	290	16:05
1438	CBTF	CBTF17	not applicable	VA	37.84607	79.07748	713	sunny		wet	17/10/17	290	16:15
1439	CBTF	CBTF18	not applicable	VA	37.84698	79.07852	695	sunny		wet	17/10/17	290	16:22
1440	CBTF	CBTF19	not applicable	VA	37.84696	79.07812	680	sunny		wet	17/10/17	290	16:29
1441	CBTF	CBTF20	not applicable	VA	37.84721	79.07772	663	sunny		average	17/10/17	290	16:37
1442	CBTF	CBTF21	not applicable	VA	37.84793	79.07767	645	sunny		wet	17/10/17	290	16:42
1443	CBTF	CBTF22	not applicable	VA	37.84808	79.07761	628	sunny		wet	17/10/17	290	16:51
1444	CBTF	CBTF23	not applicable	VA	37.84847	79.07795	613	sunny		average	17/10/17	290	16:59
1445	CBTF	CBTF24	not applicable	VA	37.84875	79.07862	596	sunny		average	17/10/17	290	17:04
1446	CBTF	CBTF25	not applicable	VA	37.84898	79.07938	581	sunny		average	17/10/17	290	17:11
1447	CBTF	CBTF26	not applicable	VA	37.84921	79.0776	565	sunny		wet	17/10/17	290	17:26
1448	CBTF	CBTF27	not applicable	VA	37.84945	79.07787	547	sunny		wet	17/10/17	290	17:36
1449	CBTF	CBTF28	not applicable	VA	37.85033	79.07861	530	sunny		average	17/10/17	290	17:42
1450	CBTF	CBTF29	not applicable	VA	37.85048	79.07867	513	sunny		average	17/10/17	290	17:48
1451	CBTF	CBTF30	not applicable	VA	37.85131	79.07912	496	sunny		wet	17/10/17	290	17:54
1455	VCTX	VCTX51	not applicable	TX	30.242175	-94.152855	30	overcast		wet	18/02/18	49	8:40
1456	BTTX	BTTX27	not applicable	TX	30.694034	-94.698072	63	sunny	cool	Average	14/04/18	104	3:10
1457	BTTX	BTTX24	not applicable	TX	30.690527	-94.697542	63	sunny	cool	Average	14/04/18	104	2:45
1458	MLBS	D1	not applicable	VA	37.37734	-80.52206	1185	overcast		wet	1/06/18	152	10:15
1459	MLBS	D2	not applicable	VA	37.37741	-80.52206	1191	overcast		wet	1/06/18	152	10:25
1460	MLBS	B1	not applicable	VA	37.35368	-80.53615	1247	sunny		average	1/06/18	152	14:35
1461	MLBS	B2	not applicable	VA	37.735369	-80.53625	1245	sunny		average	1/06/18	152	14:32
1462	MLBS	C3	not applicable	VA	37.37248	-80.51843	1226	sunny	warm	average	6/06/18	157	19:00
1463	MLBS	C8	not applicable	VA	37.37292	-80.51868	1212	sunny	warm	average	6/06/18	157	19:00
1464	MLBS	C10	not applicable	VA	37.37289	-80.51869	1214	sunny	warm	average	6/06/18	157	19:00
1465	MLBS	C11	not applicable	VA	37.37287	-80.5186	1216	sunny	warm	average	6/06/18	157	19:00
1466	MLBS	C12	not applicable	VA	37.37288	-80.51864	1216	sunny	warm	average	6/06/18	157	19:00
1467	MLBS	A1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	18/06/18	169	9:42
1468	MLBS	A2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	18/06/18	169	9:47
1469	MLBS	B1	not applicable	VA	37.35355	-80.53613	1250	sunny	warm	dry	18/06/18	169	11:30
1470	MLBS	B2	not applicable	VA	37.35357	-80.53622	1248	sunny	warm	dry	18/06/18	169	11:30
1471	MLBS	C1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	dry	18/06/18	169	9:58
1472	MLBS	C2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	dry	18/06/18	169	10:02
1473	MLBS	D1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	18/06/18	169	9:21
1474	MLBS	D2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	18/06/18	169	9:25
