Soil	Collection_date		Day	Time	gps_n	gps+w	Altitude	5 day rainfall															
89	2013-06-11	2013-01-01	161		37.374	-80.52061	3924																
90	2013-06-11	2013-01-01	161		37.374	-80.52061	3924																
91	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
92	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
93	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
94	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
95	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
96	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
97	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
98	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
99	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
100	2013-06-11	2013-01-01	161	13:43:00	37.37295	-80.51883	3927																
101	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
102	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
103	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
104	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
105	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
106	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
107	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
108	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
109	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
110	2013-06-11	2013-01-01	161	15:00:00	37.37735	-80.52212	3931																
111	2013-06-11	2013-01-01	161	17:00:00	37.37758	-80.52206	3863																
112	2013-06-11	2013-01-01	161	17:00:00	37.37758	-80.52206	3863																
113	2013-06-11	2013-01-01	161	17:00:00	37.37758	-80.52206	3863																
114	2013-06-11	2013-01-01	161	17:00:00	37.37791	-80.52182	3883																
115	2013-06-11	2013-01-01	161	17:00:00	37.37791	-80.52182	3883																
116	2013-06-11	2013-01-01	161	17:00:00	37.37791	-80.52182	3883																
117	2013-06-11	2013-01-01	161	17:00:00	37.37798	-80.52184	3821																
118	2013-06-11	2013-01-01	161	17:00:00	37.37799	-80.52184																	
119	2013-06-11	2013-01-01	161	17:00:00	37.37818	-80.52187																	
120	2013-06-11	2013-01-01	161	17:00:00	37.37824	-80.52184	3862																
121	2013-06-12	2013-01-01	162		37.37823	-80.52184																	
122	2013-06-12	2013-01-01	162		37.37823	-80.52184																	
123	2013-06-12	2013-01-01	162		37.37823	-80.52184																	
124	2013-06-12	2013-01-01	162		37.37386	-80.52061	3886																
125	2013-06-12	2013-01-01	162		37.37386	-80.52061	3886																
126	2013-06-12	2013-01-01	162		37.37386	-80.52061	3886																
127	2013-06-12	2013-01-01	162		37.37383	-80.52036	3896																
128	2013-06-12	2013-01-01	162		37.37383	-80.52036	3896																
129	2013-06-12	2013-01-01	162		37.37383	-80.52036	3896																
130	2013-06-12	2013-01-01	162		37.37383	-80.52036	3896																
131	2013-06-12	2013-01-01	162		37.37381	-80.52013	3902																
132	2013-06-12	2013-01-01	162		37.37381	-80.52013	3902																
133	2013-06-12	2013-01-01	162		37.37381	-80.52013	3902																
134	2013-06-12	2013-01-01	162		37.37381	-80.52013	3902																
135	2013-06-12	2013-01-01	162		37.37381	-80.52013	3902																
136	2013-06-12	2013-01-01	162		37.3738	-80.51964	3967																
137	2013-06-12	2013-01-01	162		37.3738	-80.51964	3967																
138	2013-06-12	2013-01-01	162		37.3738	-80.51964	3967																
139	2013-06-12	2013-01-01	162		37.3738	-80.51964	3967																
140	2013-06-12	2013-01-01	162		37.3738	-80.51964	3967																
141	2013-06-12	2013-01-01	162		37.37366	-80.51956	3925																
142	2013-06-12	2013-01-01	162		37.37366	-80.51956	3925																
143	2013-06-12	2013-01-01	162		37.37366	-80.51956	3925																
144	2013-06-12	2013-01-01	162		37.37366	-80.51956	3925																
145	2013-06-12	2013-01-01	162		37.37366	-80.51956	3925																
146	2013-06-12	2013-01-01	162	14:30:00	37.3743	-80.52046	3941																
147	2013-06-12	2013-01-01	162	14:30:00	37.3743	-80.52046	3941																
148	2013-06-12	2013-01-01	162	14:30:00	37.3743	-80.52046	3941																
149	2013-06-12	2013-01-01	162	14:30:00	37.3743	-80.52046	3941																
150	2013-06-12	2013-01-01	162	14:30:00	37.3743	-80.52046	3941																
151	2013-06-12	2013-01-01	162	14:30:00	37.37427	-80.52044	3860																
152	2013-06-12	2013-01-01	162	14:30:00	37.37427	-80.52044	3860																
153	2013-06-12	2013-01-01	162	14:30:00	37.37427	-80.52044	3860																
154	2013-06-12	2013-01-01	162	14:30:00	37.37427	-80.52044	3860																
155	2013-06-12	2013-01-01	162	14:30:00	37.37427	-80.52044	3860																
156	2013-06-12	2013-01-01	162	14:30:00	37.37441	-80.52028	3866																
157	2013-06-12	2013-01-01	162	14:30:00	37.37441	-80.52028	3866																
